Manufacturer,PermitNumber,VINNUMBER,AnnualTotalofDisengagements,DEC 2019,JAN 2020,FEB 2020,MAR 2020,APR 2020,MAY 2020,JUN 2020,JULY 2020,AUG 2020,SEP 2020,OCT 2020,NOV 2020,ANNUALTOTAL,,,,,
"Mercedes Benz Research & Development North America, Inc",AVT002,WDD2221591A470147,187,14.99,304.5,380.4,71.5,0,0,15.57,0,0,0,56.99,43.22,887.17,,,,,
"Mercedes Benz Research & Development North America, Inc",AVT002,WDD2221591A470238,233,545.95,1305.76,1429.35,493.11,0,0,0,0,0,0,0,0,3774.17,,,,,
"Mercedes Benz Research & Development North America, Inc",AVT002,WDD2221591A470497,273,384.88,1069.72,1388.78,87.4,0,0,0,0,0,0,0,0,2930.78,,,,,
"Mercedes Benz Research & Development North America, Inc",AVT002,WDD2221591A470500,123,289.83,399,138,15.5,0,0,24.98,88.94,19.41,0,0,14.87,990.52,,,,,
"Mercedes Benz Research & Development North America, Inc",AVT002,WDD2221591A470502,57,327.41,554.46,200.65,30.11,0,0,0,0,0,0,0,0,1112.62,,,,,
"Mercedes Benz Research & Development North America, Inc",AVT002,WDD2221591A470796,172,159.68,92.69,171.04,9.67,0,0,0,0,24.45,147.93,84.21,58.71,748.37,,,,,
"Nissan North America, INC",AVT007,JN1BV7AP1EM685949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,,,,,
"Nissan North America, INC",AVT007,JN1BV7AP3FM349849,2,81.9,25.6,236.4,49.1,0,0,0,0,0,0,0,0,393,,,,,
"Nissan North America, INC",AVT007,1N4BZ0CP6GC302978,2,0,0,1.5,0,0,0,0,0,0,0,0,0,1.5,,,,,
"Nissan North America, INC",AVT007,1N4BZ0CP6GC311826,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,,,,,
"Nuro, Inc",AVT028,JTDKN3DP3D3041696,0,691.58,1502.18,1240.37,374.8,0,0.01,45.47,832.88,1228.36,837.15,498.73,502.76,7754.29,,,,,
"Nuro, Inc",AVT028,JTDKN3DP3C3011760,1,961.72,832.23,573.71,472.28,0,1.28,9.84,6.28,0.59,359.29,683.64,238.76,4139.62,,,,,
"Nuro, Inc",AVT028,JTDKN3DP4F3074838,0,22.32,192.63,0.75,3.84,0,0,19.63,815.46,951.14,0,62.26,203.05,2271.08,,,,,
"Nuro, Inc",AVT028,JTDKN3DPXE3050185,1,1134.31,191.9,467.67,540.48,0,0,0,325.61,734.52,408.94,690.66,75.2,4569.29,,,,,
"Nuro, Inc",AVT028,JTDKN3DP6D3042602,1,532.46,971.91,1233.22,238.71,0,0,0,169.86,893.14,688.36,695.21,40.38,5463.25,,,,,
"Nuro, Inc",AVT028,JTDKN3DP3C3020295,2,100.63,381.22,645.43,79.22,0,0,0,778.82,712.87,511.06,521.39,0.66,3731.3,,,,,
"Nuro, Inc",AVT028,JTDKN3DP0C3014583,0,519.96,1166.42,64.37,0,0,0,0,84.13,0,7.13,0,117.73,1959.74,,,,,
"Nuro, Inc",AVT028,JTDKN3DP8D3041242,0,102.54,486.32,533.97,290.76,0,0,31.92,237.13,0,41.05,26.41,162.2,1912.3,,,,,
"Nuro, Inc",AVT028,JTDKN3DPXF3070616,1,755.39,718.19,543.74,481.66,0,0,155.01,812.15,1381.27,1021.71,882.53,251.5,7003.15,,,,,
"Nuro, Inc",AVT028,JTDKN3DP2C3011362,2,177.14,653.93,1431.88,250.24,0,0,0,732.84,495.47,451.39,415.66,254.25,4862.8,,,,,
"Nuro, Inc",AVT028,JTDKN3DP2C3004167,0,1148.97,348.56,0,0,0,0,0,0,0,0,0,0,1497.53,,,,,
"Nuro, Inc",AVT028,JTDKN3DP5C3006401,0,60.82,0,0,0,0,0,0,0,0,0,0,0,60.82,,,,,
"Nuro, Inc",AVT028,JTDKN3DP3C3008373,0,0,0,0,0,0,0,0,4.54,1.95,83.33,6.78,0,96.6,,,,,
"Nuro, Inc",AVT028,JTDKN3DP5C3001652,0,0,22.17,275.9,0,0,0,0,0,0,0,0,0,298.07,,,,,
"Nuro, Inc",AVT028,JTDKN3DPXC3004725,2,684.22,721.05,413.95,0,0,0,0,0,0,0,0,0,1819.22,,,,,
"Nuro, Inc",AVT028,JTDKN3DP1C3010476,0,0,0,0,34.1,0,0,0,4.59,7.39,19.09,0,8.72,73.89,,,,,
"Nuro, Inc",AVT028,JTDKN3DP9C3015182,0,0,0,0,0,0,0,17.41,164.31,929.69,1226.22,808.09,451.81,3597.53,,,,,
"Nuro, Inc",AVT028,JTDKN3DP8D3037837,1,0,431.06,820.66,291.15,0,0,0,176.28,43.78,213.97,202.05,196.52,2375.47,,,,,
"Nuro, Inc",AVT028,JTDKARFU0L3104642,0,0,0,0,0,0,0,0,0,110.39,522.78,766.62,474.72,1874.51,,,,,
"Nuro, Inc",AVT028,1N90NUR06KR385008,0,0,0,0,0,0,0,0,9.38,0,0,0,0,9.38,,,,,
NVIDIA,AVT020,3FA6P0RU6HR272968,42,139,141,220,28,0,0,0,0,75,28,48,44,723,,,,,
NVIDIA,AVT020,3FA6P0RU2HR403815,7,6,44,31,0,0,0,0,76,0,0,0,0,157,,,,,
NVIDIA,AVT020,3FA6P0RUXHR247670,10,0,0,62,0,0,0,0,0,0,0,0,0,62,,,,,
NVIDIA,AVT020,3FA6PORU8HR293837,16,13,123,128,0,0,2,0,0,0,0,0,0,266,,,,,
NVIDIA,AVT020,3FA6P0RU9JR158968,15,3,122,17,0,0,0,0,0,0,0,0,0,142,,,,,
NVIDIA,AVT020,3FA6P0RU7JR158970,20,15,84,274,12,0,0,0,140,72,20,0,0,617,,,,,
NVIDIA,AVT020,3FA6PORUOJR158969,15,90,32,45,12,41,127,97,107,166,156,153,40,1066,,,,,
"PONY.AI, INC.",AVT032,3LN6L5LU6HR6267668,1,2193,3091,2941,1319,15,378,418,550,496,561,427,747,13136,,,,,
"PONY.AI, INC.",AVT032,3LN6L5LU3JR627494,2,2424,2983,1376,1368,0,1473,524,259,139,588,480,340,11954,,,,,
"PONY.AI, INC.",AVT032,3LN6L5MU9KR623692,1,2247,1550,1544,349,0,7,467,711,608,623,789,749,9644,,,,,
"PONY.AI, INC.",AVT032,3LN6L5MU3KR620979,2,1661,2089,1504,992,205,439,319,267,270,314,763,771,9594,,,,,
"PONY.AI, INC.",AVT032,3LN6L5MUXHR603170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"PONY.AI, INC.",AVT032,3LN6L5MU9HR606240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"PONY.AI, INC.",AVT032,3LN6L5MU0JR608710,2,2120,2747,2532,1450,0,1344,601,550,521,854,591,472,13782,,,,,
"PONY.AI, INC.",AVT032,3LN6L5MU5HR634813,0,1814,1841,2337,1323,0,1001,555,300,754,833,877,1266,12901,,,,,
"PONY.AI, INC.",AVT032,3LN6L5LU5JR601477,2,2104,2856,2504,1135,0,1248,750,235,559,607,309,447,12754,,,,,
"PONY.AI, INC.",AVT032,KM8K23AG7LU072497,1,0,0,0,0,0,0,13,384,555,402,190,332,1876,,,,,
"PONY.AI, INC.",AVT032,KM8K23AG4LU072537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"PONY.AI, INC.",AVT032,3LN6L5LU5JR626122,1,2264,2644,647,159,136,0,0,0,0,0,0,0,5850,,,,,
"PONY.AI, INC.",AVT032,KM8K33AG2KU054517,0,0,0,0,14,240,746,489,497,517,342,425,12,3282,,,,,
"PONY.AI, INC.",AVT032,KM8K23AG5LU072708,1,0,0,0,0,0,0,0,342,897,131,471,270,2111,,,,,
"PONY.AI, INC.",AVT032,KM8K23AG3LU072335,0,0,0,0,0,0,0,0,0,0,0,0,58,58,,,,,
